freq_hz,dbm_tx_on,dbm_tx_off
6.971003000000000000e+06,-8.865625000000000000e+01,-1.086561999999999983e+02
6.971246000000000000e+06,-8.815625000000000000e+01,-1.016561999999999983e+02
6.971488000000000000e+06,-9.362500000000000000e+01,-1.076561999999999983e+02
6.971730000000000000e+06,-9.262500000000000000e+01,-1.086561999999999983e+02
6.971972000000000000e+06,-8.915625000000000000e+01,-1.066561999999999983e+02
6.972215000000000000e+06,-9.262500000000000000e+01,-1.076561999999999983e+02
6.972457000000000000e+06,-9.312500000000000000e+01,-1.101561999999999983e+02
6.972699000000000000e+06,-8.915625000000000000e+01,-1.131561999999999983e+02
6.972941000000000000e+06,-9.112500000000000000e+01,-1.091561999999999983e+02
6.973183000000000000e+06,-9.215625000000000000e+01,-1.086561999999999983e+02
6.973426000000000000e+06,-9.262500000000000000e+01,-1.136561999999999983e+02
6.973668000000000000e+06,-9.762500000000000000e+01,-1.061561999999999983e+02
6.973910000000000000e+06,-9.415625000000000000e+01,-1.126561999999999983e+02
6.974152000000000000e+06,-8.965625000000000000e+01,-1.081561999999999983e+02
6.974394000000000000e+06,-9.165625000000000000e+01,-1.096561999999999983e+02
6.974637000000000000e+06,-9.212500000000000000e+01,-1.091561999999999983e+02
6.974879000000000000e+06,-9.262500000000000000e+01,-1.056561999999999983e+02
6.975121000000000000e+06,-9.315625000000000000e+01,-1.071561999999999983e+02
6.975363000000000000e+06,-9.362500000000000000e+01,-1.111561999999999983e+02
6.975606000000000000e+06,-9.212500000000000000e+01,-1.136561999999999983e+02
6.975848000000000000e+06,-8.812500000000000000e+01,-1.041561999999999983e+02
6.976090000000000000e+06,-9.312500000000000000e+01,-1.101561999999999983e+02
6.976332000000000000e+06,-9.162500000000000000e+01,-1.096561999999999983e+02
6.976574000000000000e+06,-8.812500000000000000e+01,-1.161561999999999983e+02
6.976817000000000000e+06,-9.412500000000000000e+01,-1.086561999999999983e+02
6.977059000000000000e+06,-9.162500000000000000e+01,-1.086561999999999983e+02
6.977301000000000000e+06,-9.512500000000000000e+01,-1.071561999999999983e+02
6.977543000000000000e+06,-9.265625000000000000e+01,-1.101875000000000000e+02
6.977785000000000000e+06,-8.815625000000000000e+01,-1.101875000000000000e+02
6.978028000000000000e+06,-9.168750000000000000e+01,-1.061875000000000000e+02
6.978270000000000000e+06,-9.218750000000000000e+01,-1.096875000000000000e+02
6.978512000000000000e+06,-9.118750000000000000e+01,-1.101875000000000000e+02
6.978754000000000000e+06,-9.065625000000000000e+01,-1.066875000000000000e+02
6.978997000000000000e+06,-9.468750000000000000e+01,-1.101875000000000000e+02
